project_id,name,category,aliases,search_terms,developer,device,country,reporting_country,technology,in_scope,test_site_id,test_site_name_raw,location,capacity_kw,capacity_basis,lat,lon,location_basis,first_seen,last_seen,report_years,report_pages,obs_ids,report_years_basis,latest_status,source,pilot_project_id,primre_name,primre_link_basis,primre_status,primre_scale,primre_website,review_status,notes
P0111,Normandie Hydro,annual reports,OpenHydro tidal turbine,OpenHydro | Normandie Hydro,DCNS,,France,France,tidal stream,yes,,,the Normandie Hydro tidal turbine pilot farm project located in the Raz Blanchard tidal race,14000,Pilot (report),46.6034,1.8883,country,2016,2016,2016,2016:p89,OBS0167,Pilot observations (page + quoted evidence),under_construction,Pilot,PRJ0137,,,,,,unreviewed,
P0112,"Guinard Energies MegaWattBlue demonstration, Ria d'Etel",annual reports,MegaWattBlue | MegaWattBlue tidal demonstration turbine,MegaWattBlue,Guinard Energies,,France,France,tidal stream,yes,,,"In 2017, the 250 kW MegaWattBlue tidal demonstration turbine will be deployed in the Ria d'Etel (South Brittany).",250,Pilot (report),47.6579,-3.1972,place,2016,2016,2016,2016:p89,OBS0168,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0138,,,,,,unreviewed,
P0113,OceanQuest - HydroQuest 1 MW tidal turbine at Paimpol-Brehat,annual reports,HydroQuest 1 MW marine tidal turbine | HydroQuest 1 MW marine tidal turbine prototype | Hydroquest demonstrator at Paimpol-Brehat | Hydroquest demonstrator turbine | OceanQuest | OceanQuest (HydroQuest 1 MW turbine at Paimpol-Brehat),OceanQuest | ~HydroQuest | ~Hydroquest,HYDROQUEST,,France,France,tidal stream,yes,paimpol_brehat,Paimpol-Brehat,"The turbine was deployed at the Paimpol-Brehat site in the spring of 2019, with the first MWh exported to the grid in June 2019.",1000,Pilot (report),48.88,-3.0,test site,2016,2020,2016; 2020,2016:p89; 2020:p91,OBS0169; OBS0175,Pilot observations (page + quoted evidence),grid_connected,Pilot,PRJ0139,,,,,,unreviewed,
P0114,Wavegem,annual reports,Wavegem,Wavegem,GEPS Techno,,France,France,hybrid,yes,sem_rev,SEM-REV,Wavegem hybrid wave-solar platform at SEM-REV,150,Pilot (report),47.24,-2.78,test site,2020,2020,2020,2020:p91,OBS0171,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0140,,,,,,unreviewed,
P0115,Design Pro Renewables tidal turbine at SEENEOH,annual reports,Design Pro energy converter,Design Pro,Design Pro Renewables,,France,France,tidal stream,yes,seeneoh,SEENEOH,The SEENEOH test site on the Garonne river in Bordeaux is therefore fully representative of the targeted operational environment.,,,44.87,-0.55,test site,2020,2020,2020,2020:p91,OBS0173,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0141,,,,,,unreviewed,
P0116,MINESTO demonstration at Paimpol-Brehat (TIGER),annual reports,Deep Green | TIGER - Tidal Stream Industry Energiser Project | Minesto deployment at Paimpol-Bréhat (TIGER),TIGER | MINESTO | Minesto | Deep Green,Minesto,,France,France | Sweden,tidal stream,yes,paimpol_brehat,Paimpol-Brehat,"Paimpol-Brehat (North of Brittany), whose transition towards an open test site for different tidal turbine technologies is managed by EDF, BDI and SEENEOH, will invite MINESTO for demonstration",100,Pilot (report),48.88,-3.0,test site,2020,2020,2020,2020:p90; 2020:p159,OBS0176; OBS0476,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0142 | PRJ0380,,,,,,unreviewed,reviewed 2026-09-24: merged P0311 (Minesto deployment at Paimpol-Bréhat (TIGER))
P0117,PHARES,annual reports,,PHARES,SABELLA,,France,France,tidal stream,yes,,,"the two tidal turbines to be deployed in the framework of the PHARES project, a multi-energy project for the non-grid connected Ushant Island",,,48.4593,-5.0906,place,2020,2020,2020,2020:p89,OBS0178,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0143,,,,,,unreviewed,
P0118,"Sabella / Morbihan Hydro Energies tidal turbines, Gulf of Morbihan",annual reports,Morbihan Gulf TIGER site,~Morbihan,SABELLA,,France,France,tidal stream,yes,,,"Morbihan Gulf (South of Brittany), on a site consented in 2020, where Sabella will deploy two 250 kW turbines.",250,Pilot (report),47.5977,-2.7533,region,2020,2020,2020,2020:p90,OBS0179,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0144,,,,,,unreviewed,
P0119,HYDROQUEST Raz-Blanchard pilot farm,annual reports,Raz Blanchard multi-MW deployment (TIGER) | next generation tidal turbines,TIGER,HYDROQUEST,,France,France,tidal stream,yes,,,"HYDROQUEST and its partners are now developing a 17.5MW pilot farm at the Raz-Blanchard (Normandy, France), one of the most powerful tidal energy sites in the world.",17500,Pilot (report),49.0678,0.3139,region,2020,2020,2020,2020:p92,OBS0180,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0145,,,,,,unreviewed,
P0120,EEL ENERGY prototype at Gravelines,annual reports,EEL prototype,~EEL,EEL ENERGY,,France,France,river current,yes,,,EEL ENERGY has pursued its tests on its 3 kW bio-inspired membrane-based prototype in a channel serving as water output for an industrial fish farm in Gravelines (North of France).,3,Pilot (report),50.9871,2.1273,place,2020,2020,2020,2020:p90,OBS0181,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0146,,,,,,unreviewed,
P0121,GUINARD Energies Nouvelles isolated-community tidal deployments,annual reports,,GUINARD Energies Nouvelles,GUINARD Energies Nouvelles,,France,France,tidal stream,yes,,,"GUINARD Energies Nouvelles is pursuing a policy of developing their tidal energy technology in isolated community markets, and particularly along rivers and estuaries such as the Ria d'Etel in France, Togo and French Guyana.",,,47.6579,-3.1972,place,2020,2020,2020,2020:p92,OBS0182,Pilot observations (page + quoted evidence),unknown,Pilot,PRJ0147,,,,,,unreviewed,
P0122,Seaturns quarter-scale wave energy converter demonstrator,annual reports,Seaturns,Seaturns,Seaturns,,France,France,wave,yes,portzic,IFREMER open sea test site,The demonstrator at scale 1/4 of the Wave Energy Converter developed by the company Seaturns and initially deployed between October 2023 and September 2024 on the IFREMER open sea test site was redeployed until February 2025 to complete the assessment of the system.,,,48.36,-4.55,test site,2025,2025,2025,2025:p125,OBS0185,Pilot observations (page + quoted evidence),retrieved,Pilot,PRJ0149,,,,,,unreviewed,reviewed 2026-09-24: test site linked from the Pilot's site name (IFREMER open sea test site - likely Sainte-Anne du Portzic)
P0123,Seaturns full-scale demonstrator,annual reports,Seaturns,Seaturns,Seaturns,,France,France,wave,yes,,,,200,Pilot (report),45.5355,-1.0880,PRIMRE,2025,2025,2025,2025:p125,OBS0186,Pilot observations (page + quoted evidence),fabrication,Pilot; PRIMRE,PRJ0150,Seaturns S1 demonstration,reviewed: match,Active,Full-scale,https://seaturns.com/en/seaturns-validates-the-deployment-of-its-demonstrator-in-the-atlantic-and-announces-a-collaboration-with-esb-irelands-leading-energy-company/,unreviewed,
P0124,Dikwe,annual reports,Dikwe project,Dikwe | Wave-Op,Legendre Group,Dikwe Breakwater WEC,France,France,wave,yes,,,The installation of the 330-kW demonstrator to be integrated into the breakwater protecting the port of Boulogne-sur-Mer (France) is scheduled for early 2026.,330,Pilot (report),50.7249,1.5803,PRIMRE,2025,2025,2025,2025:p125,OBS0187,Pilot observations (page + quoted evidence),under_construction,Pilot; PRIMRE,PRJ0151,Wave-Op - Dikwe project,reviewed 2026-09-24: match,Active,Full-scale,"https://www.wave-op.com/a-propos/#:~:text=months_in_2022.-,Demonstration_phase,-A_major_milestone",unreviewed,
P0127,Mega Sete,annual reports,Mega Sete project,Mega Sete,SolarInBlue,,France,France,other,no,,,"This pre-commercial demonstrator, with a capacity of 1 MW, will be installed to supply the port of Sete-Frontignan with carbon-free electricity.",1000,Pilot (report),43.4233,3.7087,place,2025,2025,2025,2025:p127,OBS0190,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0154,,,,,,unreviewed,
P0128,TRITON,annual reports,TRITON | TRITON semi-submersible tidal power platform | TidalPower,TRITON | TidalPower,SCHOTTEL HYDRO,,Canada,Germany,tidal stream,yes,force,FORCE,"the FORCE tidal research centre at the Bay of Fundy, Canada",2500,Pilot (report),45.37,-64.43,test site,2016,2016,2016,2016:p91,OBS0191,Pilot observations (page + quoted evidence),fabrication,Pilot,PRJ0155,,,,,,unreviewed,
P0129,MeyGen project (ANDRITZ HYDRO HS1000 turbine delivery),annual reports,HS1000 | MeyGen,HS1000,ANDRITZ HYDRO,,Germany,Germany,tidal stream,yes,,,MeyGen project,,,,,,2016,2016,2016,2016:p91,OBS0192,Pilot observations (page + quoted evidence),fabrication,Pilot,PRJ0156,,,,,,unreviewed,
P0130,"NEMOS 1:5 test device, Nissum Bredning",annual reports,NEMOS 1:5 test device | NEMOS wave energy converter,NEMOS | NEMOS 1:5,NEMOS GmbH,,Denmark,Germany,wave,yes,danwec_nb,Nissum Bredning Test Station for Wave Energy,"the Nissum Bredning Test Station for Wave Energy, Denmark",,,56.63,8.42,test site,2016,2016,2016,2016:p91,OBS0193,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0157,,,,,,unreviewed,
P0131,"SINN Power wave energy modules, breakwater of the port of Heraklion (Iraklio), Crete",annual reports,"Heraklion | Heraklion wave power module | Iraklio | SINN Power wave energy modules at the breakwater of the port of Iraklio | SINN Power wave power module, Port of Heraklion | SINN PowerTrain 3.4 | Testing of a Modular Concept for the Generation of Grid Conform Electricity from Irregular Ocean Waves in a Generator Array",~SINN | Iraklio | Heraklion | SINN PowerTrain,SINN Power GmbH,,Greece,Germany,wave,yes,,,"Their energy system at a breakwater at the port of Iraklio, Greece, now consists of several wave energy module prototypes, each equipped with up to eight self-developed generators with integrated power electronics, the SINN PowerTrain 3.4.",80,PRIMRE,35.7251,24.9688,PRIMRE,2016,2020,2016; 2020,2016:p91; 2020:p95,OBS0194; OBS0200,Pilot observations (page + quoted evidence),operational,Pilot; PRIMRE,PRJ0158,SINN Power Crete,reviewed 2026-09-24: match,Active,Full-scale,https://www.altenergymag.com/news/2018/06/12/wave-energy-converter-installation-in-heraklion-first-preparation-phase-successfully-completed/28709/,unreviewed,
P0133,PLAT-I 6.40,annual reports,PLAT-I 6.40 | second-generation PLAT-I platform,PLAT-I | PLAT-I 6.40 | Sustainable Marine Grand Passage,SCHOTTEL HYDRO,,Canada,Germany,tidal stream,yes,force,FORCE (Fundy Ocean Research Center for Energy),"The new platform will be connected to the grid in Grand passage in early 2021 and later in the year moved to the Fundy Ocean Research Center for Energy (FORCE) in Nova Scotia, Canada, as the first unit of a 1.26 MW floating array project.",420,Pilot (report),45.37,-64.43,test site,2020,2020,2020,2020:p94,OBS0196,Pilot observations (page + quoted evidence),fabrication,Pilot; PRIMRE,PRJ0160,Sustainable Marine Grand Passage - Phase 2,reviewed 2026-09-24: relinked from PLAT-I Connel Sound,Inactive,Full-scale,https://energy.novascotia.ca/sites/default/files/files/12__MRE_Permit_Section_12_0_SMEC_Grand_Passage_Supporting_Documents_REVISION_14NOV2019.pdf,unreviewed,
P0135,Orbital O2-2000 at EMEC,annual reports,O2 2000 | O2-2000,O2 2000 | O2-2000,Orbital Marine Power,,United Kingdom,Germany,tidal stream,yes,emec,EMEC (European Marine Energy Centre),the European Marine Energy Centre (EMEC) in Orkney,2000,Pilot (report),58.963,-3.296,test site,2020,2020,2020,2020:p95,OBS0198,Pilot observations (page + quoted evidence),fabrication,Pilot,PRJ0162,,,,,,unreviewed,
P0136,Orbital SR2000 at EMEC,annual reports,SR2000 | SR2000-2MW,SR2000 | SR2000-2MW,Orbital Marine Power,,United Kingdom,Germany,tidal stream,yes,emec,EMEC,"the SR2000-2MW unit, which produced an excess of 3 GWh of electricity over its initial 12-month continuous test programme at EMEC",2000,Pilot (report),58.963,-3.296,test site,2020,2020,2020,2020:p94,OBS0199,Pilot observations (page + quoted evidence),unknown,Pilot,PRJ0163,,,,,,unreviewed,
P0137,"SINN Power Ocean Hybrid Platform (OHP), port of Iraklio",annual reports,OHP | Ocean Hybrid Platform (OHP),~OHP | ~SINN,SINN Power GmbH,,Greece,Germany,hybrid,yes,,,"the port of Iraklio, Greece",,,35.3391,25.1333,place,2020,2020,2020,2020:p95,OBS0201,Pilot observations (page + quoted evidence),installed,Pilot,PRJ0164,,reviewed 2026-09-24: rejected 'SINN Power Crete',,,,unreviewed,PRIMRE SINN Power Crete is the breakwater modules (P0131)
P0138,"Strom-Boje 3.2, St. Goar",annual reports,MittelrheinStrom hydro energy farm at St. Goar | Strom-Boje 3.2,Strom-Boje | Strom-Boje 3.2 | MittelrheinStrom,MittelrheinStrom 560 KG,,Germany,Germany,river current,yes,,,"the Rhein river at St. Goar, Germany",70,Pilot (report),50.1500,7.7167,place,2020,2020,2020,2020:p96,OBS0202,Pilot observations (page + quoted evidence),installed,Pilot,PRJ0165,,,,,,unreviewed,
P0139,Strom-Boje (earlier version) in the Donau river,annual reports,Strom-Boje,Strom-Boje,Aqua Libre,,Germany,Germany,river current,yes,,,the Donau river,,,,,,2020,2020,2020,2020:p96,OBS0203,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0166,,,,,,unreviewed,
P0140,Backward bent ducted buoy (BBDB) with unidirectional impulse turbine,annual reports,BBDB | BBDB sea trial with φ 196 mm UDI turbine | BBDB with unidirectional impulse (UDI) turbine,~UDI | ~BBDB,National Institute of Ocean Technology (NIOT),,India,India,wave,yes,,,off Chennai coast,,,13.0837,80.2702,place,2016,2016,2016,2016:p93,OBS0204,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0167,,,,,,unreviewed,
P0141,"NIOT wave-powered navigational buoy, Kamarajar Port, Chennai",annual reports,"Wave powered navigational buoy | Wave powered navigational buoy system, Kamarajar Port | wave powered navigational buoy | Wave powered navigational buoys for Andaman & Nicobar ports",~NIOT,National Institute of Ocean Technology (NIOT),NIOT Wave-powered Navigation Buoy,India,India,wave,yes,,,"in the navigational channel of Kamarajar Port, Chennai",0.1,PRIMRE,13.1023,80.2108,PRIMRE,2016,2020,2016; 2020,2016:p93; 2020:p98,OBS0205; OBS0212; OBS0213,Pilot observations (page + quoted evidence),planned,Pilot; PRIMRE,PRJ0168 | PRJ0175,NIOT Wave-powered Navigation Buoy Demo,reviewed 2026-09-24: match,Inactive,Full-scale,https://tethys-engineering.pnnl.gov/sites/default/files/publications/oes-spotlight-on-ocean-energy.pdf,unreviewed,"reviewed 2026-09-24: merged P0148 (NIOT wave-powered navigational buoy, Kamarajar Port, Chennai)"
P0142,Small rating marine hydrokinetic turbine,annual reports,Floating current turbine tested on Andamans,,National Institute of Ocean Technology (NIOT),,India,India,tidal stream,yes,,,open sea trials conducted in 2016 on Andaman Islands in the Bay of Bengal,,,12.6112,92.8317,place,2016,2016,2016,2016:p94,OBS0206,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0169,,,,,,unreviewed,
P0143,Ocean current turbine module (scaled-up turbine),annual reports,scaled-up turbine,,National Institute of Ocean Technology (NIOT),,India,India,ocean current,yes,,,,1,Pilot (report),22.3511,78.6677,country,2016,2016,2016,2016:p95,OBS0207,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0170,,,,,,unreviewed,
P0145,Minicoy low temperature thermal desalination (LTTD) plant,annual reports,Desalination plants in U.T. Lakshadweep using ocean thermal gradient | Minicoy Plant,~LTTD | Minicoy,National Institute of Ocean Technology (NIOT),,India,India,OTEC,yes,,,"Desalination plants in U.T. Lakshadweep using ocean thermal gradient / photo caption ""Minicoy Plant""",,,8.2952,73.0648,place,2016,2016,2016,2016:p95,OBS0209,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0172,,,,,,unreviewed,
P0146,Agatti low temperature thermal desalination (LTTD) plant,annual reports,Agatti Plant | Desalination plants in U.T. Lakshadweep using ocean thermal gradient,~LTTD | Agatti,National Institute of Ocean Technology (NIOT),,India,India,OTEC,yes,,,"Desalination plants in U.T. Lakshadweep using ocean thermal gradient / photo caption ""Agatti Plant""",,,10.9479,72.3177,place,2016,2016,2016,2016:p95,OBS0210,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0173,,,,,,unreviewed,
P0147,"OTEC-powered desalination plant, Kavaratti Island (Lakshadweep)",annual reports,"OTEC powered Desalination Plant at Kavaratti | OTEC powered desalination plant on an island in the Lakshadweep group | OTEC powered desalination plant, Kavaratti | OTEC-powered desalination plant, Kavaratti Island | large capacity OTEC and Desalination plant at Lakshadweep | onshore green renewable energy plant based on OTEC technology at Kavaratti Island | Desalination plants in U.T. Lakshadweep using ocean thermal gradient | Kavaratti Plant | Kavaratti low temperature thermal desalination (LTTD) plant | 10 MW closed-cycle OTEC power plant and 5 MLD open-cycle OTEC-powered offshore desalination plant | high-capacity offshore platform-mounted OTEC-powered desalination plant",~LTTD | Kavaratti | Lakshadweep | OTEC-powered,National Institute of Ocean Technology (NIOT),OTEC powered desalination plant at Kavaratti,India,India,OTEC,yes,,,an OTEC powered desalination plant on an island in the Lakshadweep group in the Arabian Sea; the design of an OTEC powered Desalination Plant at Kavaratti in the Union Territory of Lakshadweep has commenced,10000,Pilot (report),10.5836,72.6028,PRIMRE,2016,2025,2016; 2020; 2025,2016:p94; 2016:p95; 2020:p97; 2025:p129,OBS0208; OBS0211; OBS0214; OBS0216; OBS0217,Pilot observations (page + quoted evidence),design,Pilot; PRIMRE,PRJ0174 | PRJ0171 | PRJ0177,Kavaratti OTEC Powered LTTD Desalination Plant,reviewed 2026-09-24: match,Active,Full-scale,https://www.pib.gov.in/PressNoteDetails.aspx?id=155043&NoteId=155043&ModuleId=3&reg=3&lang=2,unreviewed,"reviewed 2026-09-24: merged P0144 (OTEC-powered desalination plant, Kavaratti Island (Lakshadwe); reviewed 2026-09-24: merged P0150 (OTEC-powered desalination plant, Kavaratti Island (Lakshadwe)"
P0149,Deep-sea OTEC demonstration project on a floating platform,annual reports,deep-sea demonstration project to generate energy and freshwater on a floating platform,,National Institute of Ocean Technology (NIOT),,India,India,OTEC,yes,,,"a deep-sea demonstration project to generate energy and freshwater on a floating platform using ocean thermal gradients ... at a water depth of about 1,200 metres",100,Pilot (report),22.3511,78.6677,country,2025,2025,2025,2025:p129,OBS0215,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0176,,,,,,unreviewed,
P0151,"Hybrid renewable energy plant, Lakshadweep Islands",annual reports,hybrid renewable power plant utilizing floating solar and wind energy,,National Institute of Ocean Technology (NIOT),,India,India,other,no,,,the establishment of a hybrid renewable power plant utilizing floating solar and wind energy in the Lakshadweep Islands,,,10.8666,72.1944,region,2025,2025,2025,2025:p130,OBS0218,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0178,,,,,,unreviewed,
P0152,GKinetic tidal energy device,annual reports,GKinetic Ltd.,GKinetic,GKinetic Ltd.,,Ireland,Ireland,tidal stream,yes,,,GKinetic conducted a series towing tests of a 1/10th scale version of the turbine system in Limerick Docks in late 2015,,,52.6582,-8.6456,place,2016,2016,2016,2016:p100,OBS0222,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0182,,,,,,unreviewed,
P0153,SeaPower Platform,annual reports,SeaPower Ltd. | SeaPower Platform | SeaPower platform,~SeaPower,SeaPower Ltd.,,Ireland,Ireland,wave,yes,galway_bay,Galway Bay Marine and Renewable Energy Test Site,deployed to the quarter-scaled Galway Bay test site in November 2016,,,53.23,-9.27,test site,2016,2016,2016,2016:p100,OBS0223,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0183,,,,,,unreviewed,
P0154,WestWave,annual reports,ESB's WestWave project,WestWave,ESB,,Ireland,Ireland | European Commission,wave,yes,,,"off the west coast of Ireland, at a site near Killard, Co. Clare",5000,Pilot (report),52.7446,-9.5557,place,2016,2016,2016,2016:p82; 2016:p100,OBS0132; OBS0224,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0184 | PRJ0103,,,,,,unreviewed,reviewed 2026-09-24: merged P0087 (WestWave)
P0155,Ocean Energy half scale model at WETS,annual reports,New Wave Technology trading as Ocean Energy,,New Wave Technology (trading as Ocean Energy),,United States,Ireland,wave,yes,wets_us,WETS (US Navy Wave Energy Test Site),US Navy WETS facility in Hawaii,,,21.47,-157.75,test site,2020,2020,2020,2020:p105,OBS0227,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0185,,,,,,unreviewed,
P0161,GEM - The Ocean's Kite,annual reports,"GEM | GEM project | GEM, The Ocean's Kite | GEM, the Ocean's Kite | GEM: The Ocean's Kite","~GEM | GEM, The Ocean's Kite | GEM, the Ocean's Kite | GEM: The Ocean's Kite",SeaPower s.c.r.l.,,Italy,Italy,tidal stream,yes,,,has been deployed nearby Venice in a very slow speed current of about 3 knots downscaling the power to 20 kW,100,Pilot (report),45.3473,12.2832,PRIMRE,2016,2020,2016; 2020,2016:p105; 2020:p113,OBS0236; OBS0254,Pilot observations (page + quoted evidence),installed,Pilot; PRIMRE,PRJ0192,GEMSTAR The Oceans Kite,auto (high confidence),Inactive,Full-scale,https://www.gemstar.it/,unreviewed,
P0162,"Kobold turbine (Enermar platform), Strait of Messina",annual reports,Enermar prototype | KOBOLD | KOBOLD turbine | Kobold | Kobold I | The Kobold Turbine,KOBOLD | Enermar | Kobold I | Kobold Turbine,"ADAG Group, Department of Industrial Engineering, University of Naples ""Federico II""",Kobold Marine Turbine,Italy,Italy,tidal stream,yes,,,"Mediterranean Sea (project table); ""A platform equipped with a Kobold turbine of the diameter of 6 m with three blades, built by the Ponte di Archimede Company, has been installed in the Strait of Messina in the year 2000""",30,Pilot (report),38.2416,15.6386,PRIMRE,2016,2020,2016; 2020,2016:p106; 2020:p113,OBS0237; OBS0253,Pilot observations (page + quoted evidence),operational,Pilot; PRIMRE,PRJ0193,Enermar Pilot Plant,reviewed 2026-09-24: match,Inactive,Full-scale,https://ravenna.ordingegneri.it/wp-content/uploads/sites/98/2023/11/Presentazione_Ing._Moroso.pdf,unreviewed,
P0163,Kobold prototype for Lomboc Island (Indonesian plant),annual reports,Kobold | The Indonesian plant,,Ponte di Archimede international Spa,Kobold Marine Turbine,Indonesia,Italy,tidal stream,yes,,,"will placed on the Lomboc Island (the island immediately at east of Bali), where it could feed energy to a small village",150,PRIMRE,-8.5331,115.8044,PRIMRE,2016,2016,2016,2016:p106,OBS0238,Pilot observations (page + quoted evidence),fabrication,Pilot; PRIMRE,PRJ0194,Kobold II Plant in Indonesia,reviewed 2026-09-24: match,Inactive,Full-scale,https://ravenna.ordingegneri.it/wp-content/uploads/sites/98/2023/11/Presentazione_Ing._Moroso.pdf,unreviewed,
P0164,REWEC3 U-OWC plant at the Port of Civitavecchia,annual reports,"REWEC | REWEC3 | REWEC3 @ Civitavecchia | REWEC3 at the Port of Civitavecchia | REsonant Wave Energy Converter (REWEC3) | Resonant Wave Converter, type3 | Resonant Wave Energy Converter | Rewec3",REWEC | REWEC3 | Rewec3 | REsonant | REWEC3 @ Civitavecchia | Resonant Wave Converter | Resonant Wave Energy Converter,University Mediterranea from Reggio Calabria,,Italy,Italy,wave,yes,,,"the deployment of two full-scale REWEC installations integrated into port breakwaters, located in the ports of Civitavecchia and Salerno, currently representing the main full-scale wave energy applications deployed in Italy",20,Pilot (report),42.0890,11.7694,PRIMRE,2016,2025,2016; 2020; 2025,2016:p103; 2020:p112; 2025:p149,OBS0239; OBS0246; OBS0268,Pilot observations (page + quoted evidence),installed,Pilot; PRIMRE,PRJ0195,REWEC3 in the Port of Civitavecchia,auto (high confidence),Inactive,Full-scale,https://www.proquest.com/docview/2115664255?pq-origsite=gscholar&fromopenview=true&sourcetype=Conference_Papers_&_Proceedings,unreviewed,
P0165,40South Energy H24 wave plant at Marina di Pisa (H-WEP 1),annual reports,40SOUTH PROJECT | H-WEP 1 | H24 | H24-50kW | Marina di Pisa H-WEP 1 | Marina di Pisa project,H24 | H-WEP | Marina di Pisa,40South Energy,H24wave | H24wave (2015),Italy,Italy,wave,yes,,,"Tyrrhenian Sea Marina di Pisa (project table); ""H-WEP 1 was first deployed off the coast of Marina di Pisa (Tuscany) by 40South Energy since September 2018""",50,Pilot (report),43.5747,10.0562,PRIMRE,2016,2020,2016; 2020,2016:p106; 2020:p112,OBS0240; OBS0252,Pilot observations (page + quoted evidence),operational,Pilot; PRIMRE,PRJ0196,Marina di Pisa,reviewed 2026-09-24: match,Active,Full-scale,https://www.offshore-energy.biz/marina-di-pisa-project-to-make-waves-off-italy/,unreviewed,
P0166,ISWEC full-scale prototype at Pantelleria,annual reports,ISWEC | ISWEC PROJECT | ISWEC demonstration | Inertial Sea Wave Energy Converter | first full-scale ISWEC prototype,ISWEC | ISWEC PROJECT | ISWEC Demonstration | Inertial Sea Wave Energy Converter,Polytechnic of Turin (Politecnico di Torino),,Italy,Italy,wave,yes,,,"Mediterranean Sea (project table); ""the first full-scale ISWEC prototype, with a nominal power of 100 kW, was moored 800 m from the coast of Pantelleria""",100,Pilot (report),36.8392,11.8995,PRIMRE,2016,2020,2016; 2020,2016:p106; 2020:p112,OBS0241; OBS0248,Pilot observations (page + quoted evidence),installed,Pilot; PRIMRE,PRJ0197,ISWEC Demonstration at Pantelleria,reviewed 2026-09-24: match,Inactive,Full-scale,https://morenergylab.polito.it/iswec/,unreviewed,
P0167,SEAWARD,annual reports,ISWEC | SEAWARD (H2020 LCE-15-2016) | SEtting up An optimal WEC Array configuration for Real environment Demonstration,ISWEC | SEAWARD | SEtting,Enel Green Power (EGP),,Spain,Italy,wave,yes,,,"the design, manufacturing and demonstration of an array of 5 machines in the Canary Islands",,,28.2936,-16.6214,place,2016,2016,2016,2016:p104,OBS0242,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0198,,,,,,unreviewed,
P0168,GENERA,annual reports,"EMG (Electro-Mechanical Generator) coupled with a point-pivoted buoy | National project ""GENERA"" - H2020 - PON MISE",~EMG | GENERA,Umbra Group (Umbra Cuscinetti S.p.A.),,Italy,Italy,wave,yes,,,the installation of a 60 kW EMG prototype coupled with a point-pivoted buoy along the Italian coast of Campania is also planned,60,Pilot (report),40.8607,14.8440,region,2016,2016,2016,2016:p104,OBS0243,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0199,,,,,,unreviewed,
P0169,ReBaS - Recirculating BallScrew generator (Stage 3 sea trials),annual reports,90 kW device on Orkney Islands | EMG with point-pivoted WEC buoy | ReBaS,~EMG | ReBaS,Umbra Group (Umbra Cuscinetti S.p.A.),,United Kingdom,Italy,wave,yes,,,2018 will see the deployment in the Mediterranean sea of a 60 kW unit and of a 90 kW device on Orkney Islands,90,Pilot (report),58.9418,-3.1297,place,2016,2016,2016,2016:p107,OBS0244,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0200,,,,,,unreviewed,
P0170,EEL Energy tidal device (Umbra - EEL Energy collaboration),annual reports,EEL Energy,~EEL | EEL Energy,EEL Energy,,France,Italy,tidal stream,yes,seeneoh,SEENEOH,"A first test in real environment is planned for October at SEENEOH (http://seeneoh.com/), in Bordeaux.",,,44.87,-0.55,test site,2016,2016,2016,2016:p107,OBS0245,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0201,,,,,,unreviewed,
P0171,"Overtopping BReakwater for Energy Conversion (OBREC), Port of Naples",annual reports,OBREC | Overtopping BReakwater for Energy Conversion | Overtopping BReakwater for Energy Conversion (OBREC) | Overtopping Breakwater for Energy Conversion (OBREC),OBREC | Overtopping BReakwater | Overtopping Breakwater,University of Campania Luigi Vanvitelli,,Italy,Italy,wave,yes,marelab,MaRELab,"Tyrrhenian Sea Napoli (project table); ""A full-scale, 6 metres long prototype has been installed in the port of Naples in 2015, along the San Vincenzo rubble mound breakwater""",8,Pilot (report),40.83,14.26,test site,2020,2025,2020; 2025,2020:p112; 2025:p149,OBS0247; OBS0270,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0202,,,,,,unreviewed,reviewed 2026-09-24: test site linked from the Pilot's site name
